Year,Maker,Sales
2010,Tata,83.10840544690907
2011,Tata,41.489959317896094
2012,Tata,81.37130478266394
2013,Tata,127.93949756712504
2014,Tata,142.75975748854898
2015,Tata,215.65394599015002
2016,Tata,275.05836354251943
2017,Tata,296.09240995305765
2018,Tata,438.44458165005744
2019,Tata,505.05494352728545
2020,Tata,556.3750810075169
2021,Tata,655.6430247697281
2022,Tata,765.5176736808263
2023,Tata,843.335411412613
2010,MG,20.48486713669063
2011,MG,7.791883244558907
2012,MG,65.09045603856161
2013,MG,84.26833329349309
2014,MG,120.36667107268923
2015,MG,125.59770291613918
2016,MG,228.38602127733822
2017,MG,248.8564909102231
2018,MG,291.4215550682742
2019,MG,393.1069503011511
2020,MG,415.1835905939539
2021,MG,453.462333888442
2022,MG,540.9397508829851
2023,MG,577.4373391033259
2010,Hyundai,27.907577556922032
2011,Hyundai,16.397968469045125
2012,Hyundai,25.63336236899581
2013,Hyundai,66.00791814743053
2014,Hyundai,54.61341397106078
2015,Hyundai,107.21850106184067
2016,Hyundai,104.24599670043568
2017,Hyundai,153.56033210619952
2018,Hyundai,181.83655205928025
2019,Hyundai,252.30104267358817
2020,Hyundai,296.31364341365344
2021,Hyundai,313.302426462502
2022,Hyundai,372.8593561096366
2023,Hyundai,407.7861672645961
2010,Mahindra,44.20260257471331
2011,Mahindra,31.14050401633907
2012,Mahindra,32.59634596730396
2013,Mahindra,54.13752437103636
2014,Mahindra,117.81525774272501
2015,Mahindra,180.89084641095315
2016,Mahindra,185.9273567263979
2017,Mahindra,214.06082403145592
2018,Mahindra,298.2088077492186
2019,Mahindra,319.23913786925726
2020,Mahindra,368.5239435493824
2021,Mahindra,425.6458830718734
2022,Mahindra,477.1510851001561
2023,Mahindra,534.9864832824601
2010,Ola Electric,5.0
2011,Ola Electric,29.531591836365592
2012,Ola Electric,41.56515905460343
2013,Ola Electric,107.11521067149604
2014,Ola Electric,113.9374298220755
2015,Ola Electric,128.4045093582049
2016,Ola Electric,227.5923556531292
2017,Ola Electric,332.60788486457733
2018,Ola Electric,352.42676860472324
2019,Ola Electric,414.4862745296282
2020,Ola Electric,486.3918352893359
2021,Ola Electric,573.6562321867865
2022,Ola Electric,679.8152421392182
2023,Ola Electric,752.388419013078
